func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00305309	
transpose(Dense)	float	2000	2000	0.0160865	
transpose(Dense)	float	3000	3000	0.049671	
transpose(Dense)	float	4000	4000	0.097935	
transpose(Dense)	float	5000	5000	0.153121	
transpose(Dense)	float	6000	6000	0.212451	
transpose(Dense)	float	7000	7000	0.316703	
transpose(Dense)	float	8000	8000	0.396917	
transpose(Dense)	float	9000	9000	0.525111	
transpose(Dense)	float	10000	10000	0.611454	
transpose(Dense)	double	1000	1000	0.00372198	
transpose(Dense)	double	2000	2000	0.0283595	
transpose(Dense)	double	3000	3000	0.0739918	
transpose(Dense)	double	4000	4000	0.151212	
transpose(Dense)	double	5000	5000	0.228305	
transpose(Dense)	double	6000	6000	0.34887	
transpose(Dense)	double	7000	7000	0.4528	
transpose(Dense)	double	8000	8000	0.617528	
transpose(Dense)	double	9000	9000	0.75169	
transpose(Dense)	double	10000	10000	0.927809	
