func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0164225	0.121784	
matvec(Dense)	float	2000	2000	0.000686984	11.6451	
matvec(Dense)	float	3000	3000	0.000902966	19.9343	
matvec(Dense)	float	4000	4000	0.00119015	26.8874	
matvec(Dense)	float	5000	5000	0.00153249	32.6266	
matvec(Dense)	float	6000	6000	0.00195877	36.7577	
matvec(Dense)	float	7000	7000	0.00280685	34.9146	
matvec(Dense)	float	8000	8000	0.00318122	40.2362	
matvec(Dense)	float	9000	9000	0.00379212	42.7202	
matvec(Dense)	float	10000	10000	0.0045341	44.1102	
matvec(Dense)	double	1000	1000	0.000550508	3.63301	
matvec(Dense)	double	2000	2000	0.000819998	9.75612	
matvec(Dense)	double	3000	3000	0.00121705	14.7899	
matvec(Dense)	double	4000	4000	0.00182483	17.5359	
matvec(Dense)	double	5000	5000	0.00249218	20.0627	
matvec(Dense)	double	6000	6000	0.0034545	20.8424	
matvec(Dense)	double	7000	7000	0.00444072	22.0685	
matvec(Dense)	double	8000	8000	0.00567629	22.55	
matvec(Dense)	double	9000	9000	0.00710329	22.8063	
