func	kind	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	Dense	float	1000	1000	5.84208e-05	17.1172	205.406
matadd(Dense,Dense,Dense)	Dense	float	2000	2000	0.002259	1.7707	21.2484
matadd(Dense,Dense,Dense)	Dense	float	3000	3000	0.0107281	0.838916	10.067
matadd(Dense,Dense,Dense)	Dense	float	4000	4000	0.0202535	0.789986	9.47983
matadd(Dense,Dense,Dense)	Dense	float	5000	5000	0.0333238	0.750214	9.00257
matadd(Dense,Dense,Dense)	Dense	double	1000	1000	0.000102471	9.75888	234.213
matadd(Dense,Dense,Dense)	Dense	double	2000	2000	0.00920562	0.434517	10.4284
matadd(Dense,Dense,Dense)	Dense	double	3000	3000	0.0157573	0.571162	13.7079
matadd(Dense,Dense,Dense)	Dense	double	4000	4000	0.0416347	0.384294	9.22307
matadd(Dense,Dense,Dense)	Dense	double	5000	5000	0.0640423	0.390367	9.36881
