func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00262647	0.38074
m_tanh(Dense)	float	2000	2000	0.00108991	3.67002
m_tanh(Dense)	float	3000	3000	0.00249328	3.60971
m_tanh(Dense)	float	4000	4000	0.00496149	3.22484
m_tanh(Dense)	float	5000	5000	0.00879039	2.84401
m_tanh(Dense)	double	1000	1000	0.000741004	1.34952
m_tanh(Dense)	double	2000	2000	0.00294515	1.35817
m_tanh(Dense)	double	3000	3000	0.00698414	1.28863
m_tanh(Dense)	double	4000	4000	0.012418	1.28845
m_tanh(Dense)	double	5000	5000	0.0196088	1.27494
